brand,category,launch_year,sale_year,age_at_sale,condition,condition_score,new_price_inr,resale_price_inr
Sony,Camera Body,2020,2022,2,Excellent,4,299990,134500
Sony,Camera Body,2020,2022,2,Good,3,299990,102000
Sony,Camera Body,2020,2022,2,Fair,2,299990,70000
Sony,Camera Body,2020,2022,2,For Parts,1,299990,36000
Sony,Camera Body,2020,2023,3,Excellent,4,299990,109000
Sony,Camera Body,2020,2023,3,Good,3,299990,82500
Sony,Camera Body,2020,2023,3,Fair,2,299990,57500
Sony,Camera Body,2020,2023,3,For Parts,1,299990,27500
Sony,Camera Body,2020,2024,4,Excellent,4,299990,96500
Sony,Camera Body,2020,2024,4,Good,3,299990,76500
Sony,Camera Body,2020,2024,4,Fair,2,299990,54500
Sony,Camera Body,2020,2024,4,For Parts,1,299990,24000
Sony,Camera Body,2020,2025,5,Excellent,4,299990,80500
Sony,Camera Body,2020,2025,5,Good,3,299990,67000
Sony,Camera Body,2020,2025,5,Fair,2,299990,43500
Sony,Camera Body,2020,2025,5,For Parts,1,299990,21500
Sony,Camera Body,2018,2021,3,Excellent,4,74990,26500
Sony,Camera Body,2018,2021,3,Good,3,74990,22000
Sony,Camera Body,2018,2021,3,Fair,2,74990,15000
Sony,Camera Body,2018,2021,3,For Parts,1,74990,7000
Sony,Camera Body,2018,2022,4,Excellent,4,74990,24000
Sony,Camera Body,2018,2022,4,Good,3,74990,18500
Sony,Camera Body,2018,2022,4,Fair,2,74990,13000
Sony,Camera Body,2018,2022,4,For Parts,1,74990,6500
Sony,Camera Body,2018,2023,5,Excellent,4,74990,20500
Sony,Camera Body,2018,2023,5,Good,3,74990,16500
Sony,Camera Body,2018,2023,5,Fair,2,74990,11000
Sony,Camera Body,2018,2023,5,For Parts,1,74990,5000
Sony,Camera Body,2018,2024,6,Excellent,4,74990,16500
Sony,Camera Body,2018,2024,6,Good,3,74990,12000
Sony,Camera Body,2018,2024,6,Fair,2,74990,8500
Sony,Camera Body,2018,2024,6,For Parts,1,74990,4000
Sony,Camera Body,2018,2025,7,Excellent,4,74990,13500
Sony,Camera Body,2018,2025,7,Good,3,74990,12000
Sony,Camera Body,2018,2025,7,Fair,2,74990,7500
Sony,Camera Body,2018,2025,7,For Parts,1,74990,3500
Sony,Camera Body,2017,2021,4,Excellent,4,64990,22000
Sony,Camera Body,2017,2021,4,Good,3,64990,16000
Sony,Camera Body,2017,2021,4,Fair,2,64990,12000
Sony,Camera Body,2017,2021,4,For Parts,1,64990,5000
Sony,Camera Body,2017,2022,5,Excellent,4,64990,17000
Sony,Camera Body,2017,2022,5,Good,3,64990,13000
Sony,Camera Body,2017,2022,5,Fair,2,64990,9500
Sony,Camera Body,2017,2022,5,For Parts,1,64990,5000
Sony,Camera Body,2017,2023,6,Excellent,4,64990,13000
Sony,Camera Body,2017,2023,6,Good,3,64990,12000
Sony,Camera Body,2017,2023,6,Fair,2,64990,8500
Sony,Camera Body,2017,2023,6,For Parts,1,64990,3500
Sony,Camera Body,2017,2024,7,Excellent,4,64990,11500
Sony,Camera Body,2017,2024,7,Good,3,64990,10000
Sony,Camera Body,2017,2024,7,Fair,2,64990,6500
Sony,Camera Body,2017,2024,7,For Parts,1,64990,3500
Sony,Camera Body,2017,2025,8,Excellent,4,64990,11000
Sony,Camera Body,2017,2025,8,Good,3,64990,10000
Sony,Camera Body,2017,2025,8,Fair,2,64990,6000
Sony,Camera Body,2017,2025,8,For Parts,1,64990,2500
Sony,Camera Body,2023,2023,0,New (Open Box),6,319990,256000
Sony,Camera Body,2023,2023,0,Like New,5,319990,228000
Sony,Camera Body,2023,2023,0,Excellent,4,319990,207000
Sony,Camera Body,2023,2023,0,Good,3,319990,162500
Sony,Camera Body,2023,2023,0,Fair,2,319990,109500
Sony,Camera Body,2023,2024,1,New (Open Box),6,319990,232000
Sony,Camera Body,2023,2024,1,Like New,5,319990,176000
Sony,Camera Body,2023,2024,1,Excellent,4,319990,155000
Sony,Camera Body,2023,2024,1,Good,3,319990,123000
Sony,Camera Body,2023,2024,1,Fair,2,319990,88000
Sony,Camera Body,2023,2025,2,Excellent,4,319990,126000
Sony,Camera Body,2023,2025,2,Good,3,319990,115000
Sony,Camera Body,2023,2025,2,Fair,2,319990,75500
Sony,Camera Body,2023,2025,2,For Parts,1,319990,33000
Sony,Camera Body,2016,2021,5,Excellent,4,54990,13500
Sony,Camera Body,2016,2021,5,Good,3,54990,12000
Sony,Camera Body,2016,2021,5,Fair,2,54990,8500
Sony,Camera Body,2016,2021,5,For Parts,1,54990,4500
Sony,Camera Body,2016,2022,6,Excellent,4,54990,14500
Sony,Camera Body,2016,2022,6,Good,3,54990,10000
Sony,Camera Body,2016,2022,6,Fair,2,54990,6500
Sony,Camera Body,2016,2022,6,For Parts,1,54990,3000
Sony,Camera Body,2016,2023,7,Excellent,4,54990,10500
Sony,Camera Body,2016,2023,7,Good,3,54990,8000
Sony,Camera Body,2016,2023,7,Fair,2,54990,5500
Sony,Camera Body,2016,2023,7,For Parts,1,54990,2500
Sony,Camera Body,2016,2024,8,Excellent,4,54990,9500
Sony,Camera Body,2016,2024,8,Good,3,54990,8000
Sony,Camera Body,2016,2024,8,Fair,2,54990,5500
Sony,Camera Body,2016,2024,8,For Parts,1,54990,2500
Sony,Camera Body,2016,2025,9,Excellent,4,54990,7500
Sony,Camera Body,2016,2025,9,Good,3,54990,6000
Sony,Camera Body,2016,2025,9,Fair,2,54990,4500
Sony,Camera Body,2016,2025,9,For Parts,1,54990,2000
Canon,Camera Body,2022,2022,0,New (Open Box),6,164990,144500
Canon,Camera Body,2022,2022,0,Like New,5,164990,117000
Canon,Camera Body,2022,2022,0,Excellent,4,164990,104500
Canon,Camera Body,2022,2022,0,Good,3,164990,77500
Canon,Camera Body,2022,2022,0,Fair,2,164990,51500
Canon,Camera Body,2022,2023,1,New (Open Box),6,164990,103500
Canon,Camera Body,2022,2023,1,Like New,5,164990,93500
Canon,Camera Body,2022,2023,1,Excellent,4,164990,93500
Canon,Camera Body,2022,2023,1,Good,3,164990,64000
Canon,Camera Body,2022,2023,1,Fair,2,164990,48500
Canon,Camera Body,2022,2024,2,Excellent,4,164990,67000
Canon,Camera Body,2022,2024,2,Good,3,164990,60500
Canon,Camera Body,2022,2024,2,Fair,2,164990,40500
Canon,Camera Body,2022,2024,2,For Parts,1,164990,18500
Canon,Camera Body,2022,2025,3,Excellent,4,164990,60500
Canon,Camera Body,2022,2025,3,Good,3,164990,47000
Canon,Camera Body,2022,2025,3,Fair,2,164990,35000
Canon,Camera Body,2022,2025,3,For Parts,1,164990,15500
Canon,Camera Body,2021,2021,0,New (Open Box),6,334990,246000
Canon,Camera Body,2021,2021,0,Like New,5,334990,218000
Canon,Camera Body,2021,2021,0,Excellent,4,334990,202500
Canon,Camera Body,2021,2021,0,Good,3,334990,177500
Canon,Camera Body,2021,2021,0,Fair,2,334990,113000
Canon,Camera Body,2021,2022,1,New (Open Box),6,334990,221500
Canon,Camera Body,2021,2022,1,Like New,5,334990,201500
Canon,Camera Body,2021,2022,1,Excellent,4,334990,182000
Canon,Camera Body,2021,2022,1,Good,3,334990,138000
Canon,Camera Body,2021,2022,1,Fair,2,334990,92000
Canon,Camera Body,2021,2023,2,Excellent,4,334990,153000
Canon,Camera Body,2021,2023,2,Good,3,334990,119000
Canon,Camera Body,2021,2023,2,Fair,2,334990,87500
Canon,Camera Body,2021,2023,2,For Parts,1,334990,38500
Canon,Camera Body,2021,2024,3,Excellent,4,334990,114000
Canon,Camera Body,2021,2024,3,Good,3,334990,91500
Canon,Camera Body,2021,2024,3,Fair,2,334990,75500
Canon,Camera Body,2021,2024,3,For Parts,1,334990,36000
Canon,Camera Body,2021,2025,4,Excellent,4,334990,103500
Canon,Camera Body,2021,2025,4,Good,3,334990,83000
Canon,Camera Body,2021,2025,4,Fair,2,334990,63500
Canon,Camera Body,2021,2025,4,For Parts,1,334990,26000
Canon,Camera Body,2020,2021,1,New (Open Box),6,79990,50500
Canon,Camera Body,2020,2021,1,Like New,5,79990,49000
Canon,Camera Body,2020,2021,1,Excellent,4,79990,39500
Canon,Camera Body,2020,2021,1,Good,3,79990,32500
Canon,Camera Body,2020,2021,1,Fair,2,79990,22500
Canon,Camera Body,2020,2022,2,Excellent,4,79990,35000
Canon,Camera Body,2020,2022,2,Good,3,79990,30000
Canon,Camera Body,2020,2022,2,Fair,2,79990,19500
Canon,Camera Body,2020,2022,2,For Parts,1,79990,9500
Canon,Camera Body,2020,2023,3,Excellent,4,79990,26000
Canon,Camera Body,2020,2023,3,Good,3,79990,23500
Canon,Camera Body,2020,2023,3,Fair,2,79990,15500
Canon,Camera Body,2020,2023,3,For Parts,1,79990,7000
Canon,Camera Body,2020,2024,4,Excellent,4,79990,23500
Canon,Camera Body,2020,2024,4,Good,3,79990,20000
Canon,Camera Body,2020,2024,4,Fair,2,79990,15000
Canon,Camera Body,2020,2024,4,For Parts,1,79990,6000
Canon,Camera Body,2020,2025,5,Excellent,4,79990,21500
Canon,Camera Body,2020,2025,5,Good,3,79990,16500
Canon,Camera Body,2020,2025,5,Fair,2,79990,11500
Canon,Camera Body,2020,2025,5,For Parts,1,79990,6000
Canon,Camera Body,2019,2021,2,Excellent,4,54990,24500
Canon,Camera Body,2019,2021,2,Good,3,54990,20500
Canon,Camera Body,2019,2021,2,Fair,2,54990,13000
Canon,Camera Body,2019,2021,2,For Parts,1,54990,6000
Canon,Camera Body,2019,2022,3,Excellent,4,54990,20000
Canon,Camera Body,2019,2022,3,Good,3,54990,16500
Canon,Camera Body,2019,2022,3,Fair,2,54990,11500
Canon,Camera Body,2019,2022,3,For Parts,1,54990,5000
Canon,Camera Body,2019,2023,4,Excellent,4,54990,17500
Canon,Camera Body,2019,2023,4,Good,3,54990,14000
Canon,Camera Body,2019,2023,4,Fair,2,54990,11000
Canon,Camera Body,2019,2023,4,For Parts,1,54990,5000
Canon,Camera Body,2019,2024,5,Excellent,4,54990,14000
Canon,Camera Body,2019,2024,5,Good,3,54990,11500
Canon,Camera Body,2019,2024,5,Fair,2,54990,7500
Canon,Camera Body,2019,2024,5,For Parts,1,54990,3500
Canon,Camera Body,2019,2025,6,Excellent,4,54990,12500
Canon,Camera Body,2019,2025,6,Good,3,54990,10500
Canon,Camera Body,2019,2025,6,Fair,2,54990,6500
Canon,Camera Body,2019,2025,6,For Parts,1,54990,3000
Canon,Camera Body,2022,2022,0,New (Open Box),6,59990,41500
Canon,Camera Body,2022,2022,0,Like New,5,59990,42000
Canon,Camera Body,2022,2022,0,Excellent,4,59990,33500
Canon,Camera Body,2022,2022,0,Good,3,59990,28000
Canon,Camera Body,2022,2022,0,Fair,2,59990,19000
Canon,Camera Body,2022,2023,1,New (Open Box),6,59990,39500
Canon,Camera Body,2022,2023,1,Like New,5,59990,32000
Canon,Camera Body,2022,2023,1,Excellent,4,59990,27500
Canon,Camera Body,2022,2023,1,Good,3,59990,27500
Canon,Camera Body,2022,2023,1,Fair,2,59990,15500
Canon,Camera Body,2022,2024,2,Excellent,4,59990,24000
Canon,Camera Body,2022,2024,2,Good,3,59990,23000
Canon,Camera Body,2022,2024,2,Fair,2,59990,17000
Canon,Camera Body,2022,2024,2,For Parts,1,59990,6500
Canon,Camera Body,2022,2025,3,Excellent,4,59990,21500
Canon,Camera Body,2022,2025,3,Good,3,59990,18000
Canon,Camera Body,2022,2025,3,Fair,2,59990,13500
Canon,Camera Body,2022,2025,3,For Parts,1,59990,5500
Canon,Camera Body,2023,2023,0,New (Open Box),6,239990,187500
Canon,Camera Body,2023,2023,0,Like New,5,239990,177000
Canon,Camera Body,2023,2023,0,Excellent,4,239990,147500
Canon,Camera Body,2023,2023,0,Good,3,239990,113500
Canon,Camera Body,2023,2023,0,Fair,2,239990,79500
Canon,Camera Body,2023,2024,1,New (Open Box),6,239990,146500
Canon,Camera Body,2023,2024,1,Like New,5,239990,140000
Canon,Camera Body,2023,2024,1,Excellent,4,239990,119000
Canon,Camera Body,2023,2024,1,Good,3,239990,99000
Canon,Camera Body,2023,2024,1,Fair,2,239990,65000
Canon,Camera Body,2023,2025,2,Excellent,4,239990,105500
Canon,Camera Body,2023,2025,2,Good,3,239990,88000
Canon,Camera Body,2023,2025,2,Fair,2,239990,58000
Canon,Camera Body,2023,2025,2,For Parts,1,239990,28000
Canon,Camera Body,2017,2021,4,Excellent,4,44990,14000
Canon,Camera Body,2017,2021,4,Good,3,44990,11500
Canon,Camera Body,2017,2021,4,Fair,2,44990,7500
Canon,Camera Body,2017,2021,4,For Parts,1,44990,4000
Canon,Camera Body,2017,2022,5,Excellent,4,44990,12000
Canon,Camera Body,2017,2022,5,Good,3,44990,11000
Canon,Camera Body,2017,2022,5,Fair,2,44990,7500
Canon,Camera Body,2017,2022,5,For Parts,1,44990,3000
Canon,Camera Body,2017,2023,6,Excellent,4,44990,9500
Canon,Camera Body,2017,2023,6,Good,3,44990,7500
Canon,Camera Body,2017,2023,6,Fair,2,44990,6000
Canon,Camera Body,2017,2023,6,For Parts,1,44990,2500
Canon,Camera Body,2017,2024,7,Excellent,4,44990,9000
Canon,Camera Body,2017,2024,7,Good,3,44990,6000
Canon,Camera Body,2017,2024,7,Fair,2,44990,5000
Canon,Camera Body,2017,2024,7,For Parts,1,44990,2500
Canon,Camera Body,2017,2025,8,Excellent,4,44990,7000
Canon,Camera Body,2017,2025,8,Good,3,44990,6000
Canon,Camera Body,2017,2025,8,Fair,2,44990,4500
Canon,Camera Body,2017,2025,8,For Parts,1,44990,2000
Canon,Camera Body,2016,2021,5,Excellent,4,34990,9000
Canon,Camera Body,2016,2021,5,Good,3,34990,7500
Canon,Camera Body,2016,2021,5,Fair,2,34990,5000
Canon,Camera Body,2016,2021,5,For Parts,1,34990,2500
Canon,Camera Body,2016,2022,6,Excellent,4,34990,8500
Canon,Camera Body,2016,2022,6,Good,3,34990,5500
Canon,Camera Body,2016,2022,6,Fair,2,34990,4500
Canon,Camera Body,2016,2022,6,For Parts,1,34990,2000
Canon,Camera Body,2016,2023,7,Excellent,4,34990,7000
Canon,Camera Body,2016,2023,7,Good,3,34990,5500
Canon,Camera Body,2016,2023,7,Fair,2,34990,3500
Canon,Camera Body,2016,2023,7,For Parts,1,34990,2000
Canon,Camera Body,2016,2024,8,Excellent,4,34990,6500
Canon,Camera Body,2016,2024,8,Good,3,34990,4500
Canon,Camera Body,2016,2024,8,Fair,2,34990,3500
Canon,Camera Body,2016,2024,8,For Parts,1,34990,1500
Canon,Camera Body,2016,2025,9,Excellent,4,34990,5000
Canon,Camera Body,2016,2025,9,Good,3,34990,4000
Canon,Camera Body,2016,2025,9,Fair,2,34990,3000
Canon,Camera Body,2016,2025,9,For Parts,1,34990,1500
Nikon,Camera Body,2021,2021,0,New (Open Box),6,549990,451000
Nikon,Camera Body,2021,2021,0,Like New,5,549990,427500
Nikon,Camera Body,2021,2021,0,Excellent,4,549990,352500
Nikon,Camera Body,2021,2021,0,Good,3,549990,273000
Nikon,Camera Body,2021,2021,0,Fair,2,549990,203000
Nikon,Camera Body,2021,2022,1,New (Open Box),6,549990,376000
Nikon,Camera Body,2021,2022,1,Like New,5,549990,342000
Nikon,Camera Body,2021,2022,1,Excellent,4,549990,272000
Nikon,Camera Body,2021,2022,1,Good,3,549990,224500
Nikon,Camera Body,2021,2022,1,Fair,2,549990,148000
Nikon,Camera Body,2021,2023,2,Excellent,4,549990,249500
Nikon,Camera Body,2021,2023,2,Good,3,549990,177000
Nikon,Camera Body,2021,2023,2,Fair,2,549990,138000
Nikon,Camera Body,2021,2023,2,For Parts,1,549990,61500
Nikon,Camera Body,2021,2024,3,Excellent,4,549990,216000
Nikon,Camera Body,2021,2024,3,Good,3,549990,170500
Nikon,Camera Body,2021,2024,3,Fair,2,549990,125000
Nikon,Camera Body,2021,2024,3,For Parts,1,549990,56000
Nikon,Camera Body,2021,2025,4,Excellent,4,549990,156000
Nikon,Camera Body,2021,2025,4,Good,3,549990,138500
Nikon,Camera Body,2021,2025,4,Fair,2,549990,89500
Nikon,Camera Body,2021,2025,4,For Parts,1,549990,44000
Nikon,Camera Body,2022,2022,0,New (Open Box),6,349990,302500
Nikon,Camera Body,2022,2022,0,Like New,5,349990,256000
Nikon,Camera Body,2022,2022,0,Excellent,4,349990,200500
Nikon,Camera Body,2022,2022,0,Good,3,349990,159000
Nikon,Camera Body,2022,2022,0,Fair,2,349990,117500
Nikon,Camera Body,2022,2023,1,New (Open Box),6,349990,216000
Nikon,Camera Body,2022,2023,1,Like New,5,349990,199000
Nikon,Camera Body,2022,2023,1,Excellent,4,349990,179500
Nikon,Camera Body,2022,2023,1,Good,3,349990,152500
Nikon,Camera Body,2022,2023,1,Fair,2,349990,102000
Nikon,Camera Body,2022,2024,2,Excellent,4,349990,129500
Nikon,Camera Body,2022,2024,2,Good,3,349990,123500
Nikon,Camera Body,2022,2024,2,Fair,2,349990,84000
Nikon,Camera Body,2022,2024,2,For Parts,1,349990,40500
Nikon,Camera Body,2022,2025,3,Excellent,4,349990,141000
Nikon,Camera Body,2022,2025,3,Good,3,349990,91000
Nikon,Camera Body,2022,2025,3,Fair,2,349990,69500
Nikon,Camera Body,2022,2025,3,For Parts,1,349990,35000
Nikon,Camera Body,2020,2021,1,New (Open Box),6,134990,81500
Nikon,Camera Body,2020,2021,1,Like New,5,134990,87000
Nikon,Camera Body,2020,2021,1,Excellent,4,134990,69500
Nikon,Camera Body,2020,2021,1,Good,3,134990,57500
Nikon,Camera Body,2020,2021,1,Fair,2,134990,36500
Nikon,Camera Body,2020,2022,2,Excellent,4,134990,60500
Nikon,Camera Body,2020,2022,2,Good,3,134990,50000
Nikon,Camera Body,2020,2022,2,Fair,2,134990,33000
Nikon,Camera Body,2020,2022,2,For Parts,1,134990,15500
Nikon,Camera Body,2020,2023,3,Excellent,4,134990,50500
Nikon,Camera Body,2020,2023,3,Good,3,134990,38000
Nikon,Camera Body,2020,2023,3,Fair,2,134990,27500
Nikon,Camera Body,2020,2023,3,For Parts,1,134990,13000
Nikon,Camera Body,2020,2024,4,Excellent,4,134990,43000
Nikon,Camera Body,2020,2024,4,Good,3,134990,36000
Nikon,Camera Body,2020,2024,4,Fair,2,134990,22000
Nikon,Camera Body,2020,2024,4,For Parts,1,134990,11000
Nikon,Camera Body,2020,2025,5,Excellent,4,134990,39000
Nikon,Camera Body,2020,2025,5,Good,3,134990,27500
Nikon,Camera Body,2020,2025,5,Fair,2,134990,19000
Nikon,Camera Body,2020,2025,5,For Parts,1,134990,9500
Nikon,Camera Body,2019,2021,2,Excellent,4,94990,43000
Nikon,Camera Body,2019,2021,2,Good,3,94990,33000
Nikon,Camera Body,2019,2021,2,Fair,2,94990,24500
Nikon,Camera Body,2019,2021,2,For Parts,1,94990,11500
Nikon,Camera Body,2019,2022,3,Excellent,4,94990,36500
Nikon,Camera Body,2019,2022,3,Good,3,94990,29000
Nikon,Camera Body,2019,2022,3,Fair,2,94990,22000
Nikon,Camera Body,2019,2022,3,For Parts,1,94990,9000
Nikon,Camera Body,2019,2023,4,Excellent,4,94990,26000
Nikon,Camera Body,2019,2023,4,Good,3,94990,26500
Nikon,Camera Body,2019,2023,4,Fair,2,94990,16000
Nikon,Camera Body,2019,2023,4,For Parts,1,94990,8000
Nikon,Camera Body,2019,2024,5,Excellent,4,94990,27000
Nikon,Camera Body,2019,2024,5,Good,3,94990,18500
Nikon,Camera Body,2019,2024,5,Fair,2,94990,13000
Nikon,Camera Body,2019,2024,5,For Parts,1,94990,6000
Nikon,Camera Body,2019,2025,6,Excellent,4,94990,20500
Nikon,Camera Body,2019,2025,6,Good,3,94990,17500
Nikon,Camera Body,2019,2025,6,Fair,2,94990,12500
Nikon,Camera Body,2019,2025,6,For Parts,1,94990,5500
Nikon,Camera Body,2021,2021,0,New (Open Box),6,64990,47000
Nikon,Camera Body,2021,2021,0,Like New,5,64990,39500
Nikon,Camera Body,2021,2021,0,Excellent,4,64990,39000
Nikon,Camera Body,2021,2021,0,Good,3,64990,30500
Nikon,Camera Body,2021,2021,0,Fair,2,64990,22500
Nikon,Camera Body,2021,2022,1,New (Open Box),6,64990,45000
Nikon,Camera Body,2021,2022,1,Like New,5,64990,39000
Nikon,Camera Body,2021,2022,1,Excellent,4,64990,34000
Nikon,Camera Body,2021,2022,1,Good,3,64990,27000
Nikon,Camera Body,2021,2022,1,Fair,2,64990,19000
Nikon,Camera Body,2021,2023,2,Excellent,4,64990,26500
Nikon,Camera Body,2021,2023,2,Good,3,64990,22500
Nikon,Camera Body,2021,2023,2,Fair,2,64990,15500
Nikon,Camera Body,2021,2023,2,For Parts,1,64990,7500
Nikon,Camera Body,2021,2024,3,Excellent,4,64990,23500
Nikon,Camera Body,2021,2024,3,Good,3,64990,20000
Nikon,Camera Body,2021,2024,3,Fair,2,64990,13000
Nikon,Camera Body,2021,2024,3,For Parts,1,64990,6500
Nikon,Camera Body,2021,2025,4,Excellent,4,64990,21500
Nikon,Camera Body,2021,2025,4,Good,3,64990,14500
Nikon,Camera Body,2021,2025,4,Fair,2,64990,10500
Nikon,Camera Body,2021,2025,4,For Parts,1,64990,5000
Nikon,Camera Body,2018,2021,3,Excellent,4,84990,27000
Nikon,Camera Body,2018,2021,3,Good,3,84990,24000
Nikon,Camera Body,2018,2021,3,Fair,2,84990,18000
Nikon,Camera Body,2018,2021,3,For Parts,1,84990,8000
Nikon,Camera Body,2018,2022,4,Excellent,4,84990,27000
Nikon,Camera Body,2018,2022,4,Good,3,84990,23000
Nikon,Camera Body,2018,2022,4,Fair,2,84990,16000
Nikon,Camera Body,2018,2022,4,For Parts,1,84990,7000
Nikon,Camera Body,2018,2023,5,Excellent,4,84990,24500
Nikon,Camera Body,2018,2023,5,Good,3,84990,18500
Nikon,Camera Body,2018,2023,5,Fair,2,84990,12000
Nikon,Camera Body,2018,2023,5,For Parts,1,84990,6000
Nikon,Camera Body,2018,2024,6,Excellent,4,84990,17500
Nikon,Camera Body,2018,2024,6,Good,3,84990,14500
Nikon,Camera Body,2018,2024,6,Fair,2,84990,10500
Nikon,Camera Body,2018,2024,6,For Parts,1,84990,5500
Nikon,Camera Body,2018,2025,7,Excellent,4,84990,18000
Nikon,Camera Body,2018,2025,7,Good,3,84990,12000
Nikon,Camera Body,2018,2025,7,Fair,2,84990,9500
Nikon,Camera Body,2018,2025,7,For Parts,1,84990,4000
Nikon,Camera Body,2017,2021,4,Excellent,4,74990,24000
Nikon,Camera Body,2017,2021,4,Good,3,74990,19000
Nikon,Camera Body,2017,2021,4,Fair,2,74990,11500
Nikon,Camera Body,2017,2021,4,For Parts,1,74990,6500
Nikon,Camera Body,2017,2022,5,Excellent,4,74990,19000
Nikon,Camera Body,2017,2022,5,Good,3,74990,15500
Nikon,Camera Body,2017,2022,5,Fair,2,74990,10500
Nikon,Camera Body,2017,2022,5,For Parts,1,74990,5000
Nikon,Camera Body,2017,2023,6,Excellent,4,74990,17500
Nikon,Camera Body,2017,2023,6,Good,3,74990,13500
Nikon,Camera Body,2017,2023,6,Fair,2,74990,9500
Nikon,Camera Body,2017,2023,6,For Parts,1,74990,4500
Nikon,Camera Body,2017,2024,7,Excellent,4,74990,15500
Nikon,Camera Body,2017,2024,7,Good,3,74990,11500
Nikon,Camera Body,2017,2024,7,Fair,2,74990,7500
Nikon,Camera Body,2017,2024,7,For Parts,1,74990,4000
Nikon,Camera Body,2017,2025,8,Excellent,4,74990,12500
Nikon,Camera Body,2017,2025,8,Good,3,74990,11000
Nikon,Camera Body,2017,2025,8,Fair,2,74990,7500
Nikon,Camera Body,2017,2025,8,For Parts,1,74990,3500
Nikon,Camera Body,2016,2021,5,Excellent,4,54990,15000
Nikon,Camera Body,2016,2021,5,Good,3,54990,13000
